rank,rsId,lane,exc0,abs0,base,peakPhase,scale,srcW,srcH,bakeW,bakeH,srcGridExcessPct,material,severe
53,0x06005A2D,props,0.862,2.348,2.724,0,4,256,256,1024,1024,76.86,1,0
54,0x06003C92,props,0.8605,1.193,1.387,0,4,512,512,2048,2048,74.73,0,0
55,0x06003813,props,0.8594,5.976,6.954,12,4,32,64,128,256,10.41,1,1
56,0x06005DD7,scenery,0.8573,5.579,6.507,0,2,512,512,1024,1024,59.79,1,1
57,0x06003F14,dungeons,0.8401,2.861,3.406,0,4,128,256,512,1024,75.58,1,1
58,0x06003E1F,dungeons,0.8393,2.54,3.026,0,4,256,256,1024,1024,90.72,1,1
59,0x0600429D,props,0.8386,12.471,14.87,0,4,64,64,256,256,10.73,1,1
60,0x06003880,scenery,0.8251,2.766,3.352,0,2,256,512,512,1024,61.29,1,1
61,0x06003C87,dungeons,0.8249,0.41,0.497,0,4,256,256,1024,1024,62.54,0,0
62,0x06004438,scenery,0.8232,1.752,2.129,14,4,32,32,128,128,0.9,1,0
63,0x060041FB,dungeons,0.8128,7.133,8.775,0,4,32,128,128,512,18.09,1,1
64,0x06003789,scenery,0.8124,4.345,5.348,0,2,512,512,1024,1024,52.87,1,1
65,0x06003933,dungeons,0.8103,2.248,2.774,0,4,128,256,512,1024,56.19,1,0
66,0x060043FC,dungeons,0.8084,1.887,2.335,0,4,512,512,2048,2048,89.0,1,0
67,0x06003B28,dungeons,0.8075,3.253,4.029,0,4,128,256,512,1024,38.18,1,1
68,0x060053A9,props,0.8036,4.348,5.411,0,4,128,64,512,256,20.93,1,1
69,0x0600399B,dungeons,0.8034,4.106,5.111,0,4,64,64,256,256,55.61,1,1
70,0x06003EF0,dungeons,0.7996,5.802,7.256,0,4,128,128,512,512,31.73,1,1
71,0x06004183,scenery,0.7914,6.764,8.547,0,4,16,64,64,256,,1,1
72,0x06004131,dungeons,0.7886,3.244,4.113,0,4,128,128,512,512,34.05,1,1
73,0x06006029,props,0.7883,0.456,0.578,0,4,128,128,512,512,138.82,0,0
74,0x0600534A,props,0.7838,4.592,5.859,0,4,128,64,512,256,18.95,1,1
75,0x060037A0,props,0.7829,6.048,7.726,0,4,256,256,1024,1024,40.13,1,1
76,0x06003D42,dungeons,0.7827,6.011,7.68,0,4,128,128,512,512,52.85,1,1
77,0x06003885,scenery,0.7788,4.487,5.762,0,2,512,512,1024,1024,67.47,1,1
78,0x06005DD6,scenery,0.7765,5.934,7.642,0,2,512,512,1024,1024,58.16,1,1
79,0x06003B1C,dungeons,0.7723,3.186,4.125,0,4,128,128,512,512,49.75,1,1
80,0x06005D9E,props,0.7699,1.515,1.968,0,4,256,256,1024,1024,150.48,1,0
81,0x0600489E,scenery,0.7685,5.498,7.155,0,4,32,128,128,512,29.92,1,1
82,0x06003E2B,dungeons,0.7677,1.13,1.472,0,4,256,256,1024,1024,97.49,0,0
83,0x06003E29,dungeons,0.7677,1.13,1.472,0,4,256,256,1024,1024,97.49,0,0
84,0x06005D41,dungeons,0.7677,1.13,1.472,0,4,256,256,1024,1024,97.49,0,0
85,0x06003D68,doors,0.7665,2.797,3.649,0,4,128,256,512,1024,47.26,1,1
86,0x0600378F,scenery,0.7662,13.207,17.238,0,2,512,512,1024,1024,21.19,1,1
87,0x06004547,creatures,0.7656,2.298,3.001,0,4,128,128,512,512,75.72,1,0
88,0x06005FE5,creatures,0.7649,1.841,2.407,0,4,256,256,1024,1024,74.89,1,0
89,0x06004100,dungeons,0.7645,2.567,3.358,0,4,256,256,1024,1024,55.35,1,1
90,0x06003F1A,dungeons,0.7635,3.856,5.05,0,4,128,128,512,512,51.53,1,1
91,0x06004823,scenery,0.7635,4.615,6.045,0,4,256,256,1024,1024,22.45,1,1
92,0x0600405C,dungeons,0.7628,0.149,0.195,0,4,512,256,2048,1024,168.87,0,0
93,0x06003D60,dungeons,0.7613,2.337,3.07,0,4,128,128,512,512,50.94,1,0
94,0x06005D61,props,0.756,1.688,2.233,0,4,256,256,1024,1024,71.19,1,0
95,0x06003D87,dungeons,0.7543,6.09,8.074,0,4,128,128,512,512,34.12,1,1
96,0x060042E9,scenery,0.7499,4.692,6.257,0,2,256,512,512,1024,61.21,1,1
97,0x06006A0E,props,0.7458,2.267,3.04,0,4,256,512,1024,2048,79.35,1,0
98,0x06006133,scenery,0.7447,3.45,4.632,0,2,512,512,1024,1024,96.19,1,1
99,0x0600621A,creatures,0.7444,1.477,1.984,0,4,256,512,1024,2048,76.89,0,0
100,0x06005DCD,creatures,0.743,4.412,5.938,0,4,256,256,1024,1024,38.75,1,1
101,0x06003F18,dungeons,0.7427,5.559,7.485,0,4,128,128,512,512,37.11,1,1
102,0x060037C0,scenery,0.7365,2.757,3.743,0,2,512,512,1024,1024,47.0,1,1
103,0x06005DA9,props,0.7359,0.73,0.992,0,4,256,256,1024,1024,96.35,0,0
104,0x06003B24,dungeons,0.7358,2.628,3.571,0,4,128,128,512,512,46.31,1,1
105,0x06005DB1,creatures,0.7326,5.132,7.005,0,4,128,128,512,512,39.76,1,1
106,0x06005E3A,props,0.7312,9.317,12.742,0,4,64,64,256,256,61.84,1,1
107,0x0600388A,scenery,0.727,7.24,9.959,0,2,512,512,1024,1024,23.93,1,1
108,0x0600612F,scenery,0.7223,6.443,8.92,0,2,512,512,1024,1024,70.97,1,1
109,0x06005A75,creatures,0.7184,5.588,7.779,0,4,256,256,1024,1024,42.6,1,1
110,0x06005D5F,props,0.712,2.153,3.024,0,4,256,256,1024,1024,57.18,1,0
111,0x06005F42,creatures,0.7113,1.839,2.586,0,4,512,512,2048,2048,59.86,1,0
112,0x06005FE4,creatures,0.7093,2.2,3.102,0,4,128,256,512,1024,88.1,1,0
113,0x06006BDF,props,0.7091,1.944,2.742,0,4,256,512,1024,2048,13.44,1,0
114,0x06003FC9,props,0.7078,7.811,11.036,0,4,256,512,1024,2048,31.25,1,1
115,0x06003B03,dungeons,0.7062,8.254,11.687,0,4,256,256,1024,1024,30.23,1,1
116,0x060037F9,scenery,0.7048,3.932,5.579,0,2,512,512,1024,1024,45.27,1,1
117,0x06006134,scenery,0.7009,6.239,8.902,0,2,512,512,1024,1024,69.35,1,1
118,0x06003D5E,dungeons,0.6989,2.692,3.852,0,4,128,128,512,512,43.48,1,1
119,0x06005DD5,scenery,0.6913,5.376,7.777,0,2,512,512,1024,1024,50.38,1,1
120,0x060052A7,props,0.6909,7.695,11.136,0,4,32,64,128,256,44.94,1,1
121,0x06003E15,dungeons,0.6906,3.492,5.057,0,4,128,128,512,512,67.71,1,1
122,0x06005D73,props,0.6893,3.288,4.77,0,4,256,256,1024,1024,44.81,1,1
123,0x0600379B,scenery,0.6892,4.514,6.55,0,2,512,512,1024,1024,43.76,1,1
124,0x06005A2C,props,0.6889,1.099,1.595,0,4,512,512,2048,2048,94.47,0,0
125,0x06004867,scenery,0.6873,4.295,6.25,0,4,128,128,512,512,40.89,1,1
126,0x06003D46,doors,0.6867,5.271,7.675,0,4,128,256,512,1024,51.4,1,1
127,0x060042F9,scenery,0.6862,3.159,4.603,0,4,64,32,256,128,38.47,1,1
128,0x060045AE,props,0.6848,1.472,2.15,1,4,64,64,256,256,15.37,0,0
129,0x060064EF,creatures,0.6838,8.39,12.269,0,4,128,128,512,512,6.57,1,1
130,0x06005DBE,creatures,0.6825,4.76,6.975,0,4,256,256,1024,1024,33.54,1,1
131,0x06003883,scenery,0.6824,0.711,1.042,0,2,512,512,1024,1024,86.85,0,0
132,0x060038C8,doors,0.6762,7.095,10.492,8,4,32,32,128,128,50.16,1,1
133,0x06006689,creatures,0.6746,1.8,2.669,0,4,256,256,1024,1024,49.97,1,0
134,0x06005706,props,0.6732,5.433,8.071,0,4,256,256,1024,1024,39.2,1,1
135,0x0600400C,dungeons,0.6729,4.581,6.807,0,4,128,128,512,512,37.63,1,1
136,0x060039A3,dungeons,0.6703,2.473,3.69,0,4,128,128,512,512,46.32,1,0
137,0x06005E03,props,0.6677,1.568,2.348,0,4,256,256,1024,1024,83.93,1,0
138,0x06003811,props,0.6662,3.476,5.217,8,4,64,128,256,512,5.45,1,1
139,0x06003AF3,dungeons,0.6661,3.599,5.403,0,4,128,128,512,512,47.55,1,1
140,0x06003B05,dungeons,0.6651,8.887,13.361,0,4,256,256,1024,1024,31.33,1,1
141,0x06003E80,dungeons,0.665,7.849,11.804,0,4,256,256,1024,1024,28.8,1,1
142,0x06003F1E,dungeons,0.6636,4.051,6.104,0,4,128,128,512,512,45.69,1,1
143,0x06003EA8,dungeons,0.6635,3.312,4.991,0,4,128,128,512,512,55.79,1,1
144,0x06003E65,dungeons,0.6614,3.347,5.061,0,4,128,128,512,512,44.48,1,1
145,0x06005D17,doors,0.6604,2.527,3.826,0,4,256,256,1024,1024,41.64,1,1
146,0x06003E8A,dungeons,0.6592,3.073,4.662,0,4,128,256,512,1024,47.53,1,1
147,0x06004060,dungeons,0.6559,0.778,1.186,0,4,512,512,2048,2048,124.6,0,0
148,0x0600405D,dungeons,0.6557,1.235,1.883,0,4,512,256,2048,1024,108.95,0,0
149,0x06005DCC,scenery,0.6548,4.01,6.124,0,4,256,256,1024,1024,37.58,1,1
150,0x06005D75,props,0.6545,1.92,2.933,0,4,128,256,512,1024,74.07,1,0
151,0x06003AF7,dungeons,0.6543,2.586,3.953,0,4,128,128,512,512,46.37,1,1
152,0x0600395D,dungeons,0.6536,1.777,2.719,0,4,256,256,1024,1024,65.06,1,0
153,0x06005D9F,props,0.6532,2.072,3.173,0,4,256,256,1024,1024,92.95,1,0
154,0x060038FA,dungeons,0.6521,1.117,1.713,0,4,128,128,512,512,99.71,0,0
155,0x0600391D,dungeons,0.6518,2.337,3.585,0,4,128,256,512,1024,47.43,1,0
156,0x0600395B,dungeons,0.6507,1.835,2.82,0,4,256,512,1024,2048,67.64,1,0
157,0x06005455,props,0.6505,3.544,5.447,0,4,128,64,512,256,22.97,1,1
158,0x06003E2A,dungeons,0.6502,2.091,3.215,0,4,128,256,512,1024,57.21,1,0
159,0x060037AB,scenery,0.6478,7.777,12.006,0,2,512,512,1024,1024,26.48,1,1
160,0x06003B22,dungeons,0.6466,2.936,4.542,0,4,128,128,512,512,36.99,1,1
161,0x06003CAD,doors,0.6457,3.542,5.485,0,4,512,512,2048,2048,50.42,1,1
162,0x06004635,doors,0.6447,1.984,3.078,0,4,64,128,256,512,71.55,1,0
163,0x06003E82,props,0.6444,6.732,10.447,0,4,256,256,1024,1024,34.54,1,1
164,0x06003957,dungeons,0.6427,2.786,4.335,0,4,256,256,1024,1024,42.86,1,1
165,0x06003E2C,dungeons,0.6414,2.061,3.213,0,4,128,256,512,1024,55.12,1,0
166,0x06003EE9,dungeons,0.6413,3.515,5.481,0,4,128,256,512,1024,50.68,1,1
167,0x06005D71,props,0.6412,3.954,6.166,0,4,256,256,1024,1024,40.57,1,1
168,0x06003F7B,scenery,0.638,4.53,7.099,0,4,32,16,128,64,,1,1
169,0x060038B0,scenery,0.6365,3.125,4.909,0,4,256,256,1024,1024,46.31,1,1
170,0x060037ED,scenery,0.635,5.649,8.896,0,2,512,512,1024,1024,33.86,1,1
171,0x06003BD9,dungeons,0.6338,4.332,6.834,1,4,128,128,512,512,70.43,1,1
172,0x06003D74,dungeons,0.6332,2.199,3.473,0,4,128,128,512,512,55.01,1,0
173,0x06005D72,props,0.6322,4.821,7.626,0,4,256,256,1024,1024,39.19,1,1
174,0x06005D5C,props,0.6274,1.478,2.356,0,4,256,256,1024,1024,61.33,0,0
175,0x06005D5E,props,0.627,1.433,2.286,0,4,256,256,1024,1024,59.71,0,0
176,0x06003EA2,dungeons,0.6266,3.773,6.02,0,4,128,128,512,512,50.26,1,1
177,0x06004548,creatures,0.6218,4.875,7.839,0,4,256,256,1024,1024,44.91,1,1
178,0x0600433F,creatures,0.6201,1.912,3.083,0,4,512,512,2048,2048,47.5,1,0
179,0x060040DE,scenery,0.6197,6.842,11.041,0,2,512,256,1024,512,40.04,1,1
180,0x06005D40,dungeons,0.6189,1.924,3.109,0,4,128,256,512,1024,56.45,1,0
181,0x06003F1C,dungeons,0.617,4.084,6.62,0,4,128,256,512,1024,42.05,1,1
182,0x06003B30,dungeons,0.6162,1.7,2.759,0,4,128,128,512,512,58.19,1,0
183,0x06003AF5,props,0.6153,2.327,3.781,0,4,128,128,512,512,51.74,1,0
184,0x06003EC9,dungeons,0.6146,2.408,3.919,0,4,128,128,512,512,62.38,1,0
185,0x06004435,dungeons,0.6141,0.86,1.401,0,4,64,64,256,256,87.84,0,0
186,0x060043ED,scenery,0.6138,7.208,11.743,0,2,512,512,1024,1024,34.89,1,1
187,0x06005DAA,props,0.6121,1.52,2.483,0,4,64,64,256,256,151.18,1,0
188,0x0600378A,scenery,0.6084,4.507,7.408,0,2,512,512,1024,1024,36.27,1,1
189,0x0600398B,dungeons,0.6066,2.855,4.706,0,4,128,128,512,512,50.47,1,1
190,0x06003EBC,dungeons,0.6062,2.214,3.653,14,4,64,32,256,128,50.2,1,0
191,0x060040C2,dungeons,0.6058,3.996,6.597,0,4,128,256,512,1024,35.42,1,1
192,0x06003E22,dungeons,0.6047,1.729,2.859,0,4,256,256,1024,1024,85.31,1,0
193,0x06003E4C,dungeons,0.6032,4.759,7.89,0,4,64,64,256,256,45.44,1,1
194,0x06005A29,props,0.602,3.836,6.372,0,4,512,64,2048,256,51.3,1,1
195,0x06006BE0,scenery,0.6017,12.154,20.2,0,2,512,512,1024,1024,11.28,1,1
196,0x06003AFB,dungeons,0.6015,2.66,4.423,0,4,128,128,512,512,57.61,1,1
197,0x06003ED7,dungeons,0.6006,4.779,7.958,0,4,128,256,512,1024,50.22,1,1
198,0x06003B0D,dungeons,0.5995,2.607,4.349,0,4,128,128,512,512,64.17,1,1
199,0x06003EDC,dungeons,0.5994,2.837,4.733,0,4,128,128,512,512,35.78,1,1
200,0x06005D62,props,0.5982,1.34,2.239,0,4,256,256,1024,1024,60.32,0,0
201,0x06003EDE,dungeons,0.5981,5.138,8.592,0,4,128,256,512,1024,44.71,1,1
202,0x060041FF,dungeons,0.598,6.644,11.109,0,4,128,128,512,512,50.45,1,1
203,0x06004108,dungeons,0.5966,8.34,13.98,0,4,128,256,512,1024,29.71,1,1
204,0x06003F28,dungeons,0.5963,2.312,3.877,0,4,128,128,512,512,46.1,1,0
205,0x06003E88,props,0.5945,4.653,7.827,0,4,128,128,512,512,35.1,1,1
206,0x06003ECD,dungeons,0.5939,3.526,5.938,0,4,128,128,512,512,47.74,1,1
207,0x06004171,dungeons,0.5939,3.526,5.938,0,4,128,128,512,512,47.74,1,1
208,0x06005DDE,scenery,0.5936,4.092,6.893,0,2,512,512,1024,1024,34.11,1,1
209,0x06003D41,props,0.5926,0.424,0.715,0,4,512,512,2048,2048,141.11,0,0
210,0x0600478C,props,0.5923,2.841,4.796,0,4,128,64,512,256,9.17,1,1
211,0x06003D0F,dungeons,0.592,1.873,3.164,0,4,128,128,512,512,63.63,1,0
212,0x0600378B,doors,0.5918,3.669,6.199,0,4,256,256,1024,1024,48.72,1,1
213,0x06003961,dungeons,0.5914,1.075,1.818,0,4,256,512,1024,2048,69.35,0,0
214,0x0600399D,dungeons,0.5914,2.965,5.014,0,4,128,128,512,512,51.9,1,1
215,0x06003E86,dungeons,0.5904,3.914,6.63,0,4,128,64,512,256,46.31,1,1
216,0x06006838,creatures,0.5896,3.501,5.938,0,4,256,256,1024,1024,49.09,1,1
217,0x060037EC,scenery,0.5887,7.675,13.037,0,2,512,512,1024,1024,24.18,1,1
218,0x06003EEE,dungeons,0.5885,4.281,7.275,0,4,128,128,512,512,38.48,1,1
219,0x06003AC6,scenery,0.5876,2.207,3.756,0,4,128,128,512,512,73.87,1,0
220,0x060039A1,dungeons,0.5872,3.837,6.534,0,4,128,256,512,1024,41.19,1,1
221,0x06003D62,dungeons,0.5871,2.776,4.729,0,4,128,128,512,512,32.24,1,1
222,0x0600728C,dungeons,0.587,3.643,6.207,0,4,512,512,2048,2048,30.86,1,1
223,0x06005D6D,props,0.587,5.309,9.044,0,4,256,256,1024,1024,38.94,1,1
224,0x06005509,props,0.5869,5.474,9.327,9,4,64,64,256,256,60.7,1,1
225,0x06005D78,scenery,0.5865,2.194,3.74,0,4,256,256,1024,1024,39.89,1,0
226,0x06004546,creatures,0.5858,2.76,4.711,0,4,256,256,1024,1024,49.32,1,1
227,0x060048B6,dungeons,0.5852,2.699,4.612,0,4,256,256,1024,1024,56.74,1,1
228,0x06003EF4,dungeons,0.5851,2.625,4.487,0,4,128,256,512,1024,62.83,1,1
229,0x06003C6A,creatures,0.5816,13.074,22.48,12,4,64,64,256,256,-1.83,1,1
230,0x0600610B,creatures,0.5804,2.236,3.852,0,4,256,256,1024,1024,56.01,1,0
231,0x060038F8,dungeons,0.5796,1.316,2.271,0,4,128,128,512,512,79.68,0,0
232,0x06004050,creatures,0.5778,0.467,0.808,0,4,256,256,1024,1024,80.13,0,0
233,0x0600612E,scenery,0.577,5.356,9.282,0,2,512,512,1024,1024,56.91,1,1
234,0x06004707,dungeons,0.5736,4.372,7.622,0,4,64,64,256,256,21.71,1,1
235,0x06004023,creatures,0.5708,0.901,1.579,0,4,128,128,512,512,8.81,0,0
236,0x06003FDD,dungeons,0.5707,1.894,3.319,0,4,128,128,512,512,60.7,1,0
237,0x06003A81,scenery,0.5691,1.282,2.253,10,4,64,64,256,256,73.97,0,0
238,0x06005DDC,scenery,0.5663,4.418,7.803,0,2,512,512,1024,1024,25.52,1,1
239,0x06005E5C,props,0.5655,3.634,6.427,0,4,128,128,512,512,60.46,1,1
240,0x06003B0F,dungeons,0.5643,5.984,10.604,0,4,128,256,512,1024,31.8,1,1
241,0x06005D60,props,0.5641,1.595,2.827,0,4,256,256,1024,1024,56.59,1,0
242,0x06003EDF,dungeons,0.5639,3.77,6.687,0,4,128,256,512,1024,42.44,1,1
243,0x06004137,props,0.5633,6.558,11.643,0,4,32,32,128,128,-12.6,1,1
244,0x060037B9,scenery,0.5631,7.96,14.137,0,2,512,512,1024,1024,19.99,1,1
245,0x0600387F,scenery,0.5629,2.05,3.642,0,2,256,512,512,1024,47.87,1,0
246,0x06003D4A,dungeons,0.5624,5.069,9.013,0,4,128,256,512,1024,49.76,1,1
247,0x06003F10,dungeons,0.561,4.377,7.802,0,4,128,256,512,1024,32.9,1,1
248,0x0600387D,props,0.5569,1.488,2.672,0,4,256,512,1024,2048,61.01,0,0
249,0x060040C0,dungeons,0.5563,4.4,7.91,0,4,128,128,512,512,31.41,1,1
250,0x06003DBA,dungeons,0.5562,5.919,10.642,0,4,128,128,512,512,31.99,1,1
251,0x06004064,dungeons,0.5518,3.403,6.167,0,4,128,256,512,1024,37.71,1,1
252,0x06004052,dungeons,0.5514,4.228,7.667,0,4,128,128,512,512,28.61,1,1
253,0x06005D6E,props,0.5505,4.081,7.412,0,4,256,256,1024,1024,40.23,1,1
254,0x06003E42,dungeons,0.5503,2.975,5.406,0,4,128,256,512,1024,38.86,1,1
255,0x06003ED8,dungeons,0.5502,3.732,6.783,0,4,128,256,512,1024,52.56,1,1
256,0x06006132,scenery,0.5501,2.598,4.722,0,2,512,512,1024,1024,79.94,1,1
257,0x060042E8,scenery,0.5499,3.997,7.267,0,2,256,512,512,1024,51.51,1,1
258,0x060042E4,dungeons,0.5499,2.608,4.743,0,4,512,512,2048,2048,43.43,1,1
259,0x060040B4,dungeons,0.5489,3.468,6.319,0,4,128,128,512,512,35.3,1,1
260,0x0600476A,dungeons,0.5482,3.55,6.475,0,4,128,128,512,512,48.41,1,1
261,0x06003E63,dungeons,0.5479,3.895,7.108,0,4,128,256,512,1024,42.29,1,1
262,0x06003CA1,dungeons,0.5476,3.221,5.883,0,4,512,512,2048,2048,51.56,1,1
263,0x060037AC,scenery,0.5466,7.268,13.298,0,4,256,256,1024,1024,25.31,1,1
264,0x06005F20,scenery,0.5446,1.004,1.844,0,4,128,256,512,1024,70.17,0,0
265,0x06003F06,dungeons,0.5413,2.787,5.149,0,4,128,128,512,512,53.47,1,1
266,0x06003FE5,dungeons,0.5411,1.354,2.503,0,4,128,128,512,512,46.69,0,0
267,0x06003E21,dungeons,0.5409,3.609,6.672,0,4,128,256,512,1024,40.65,1,1
268,0x06003F72,dungeons,0.5408,4.255,7.868,0,4,256,256,1024,1024,33.85,1,1
269,0x0600400E,dungeons,0.5395,2.631,4.878,0,4,128,128,512,512,50.93,1,1
270,0x060039A7,dungeons,0.5395,1.489,2.76,0,4,128,128,512,512,54.69,0,0
271,0x06005017,doors,0.5388,1.601,2.971,15,4,16,128,64,512,,1,0
272,0x06003BCB,dungeons,0.5365,2.744,5.115,0,4,128,128,512,512,39.91,1,1
273,0x06003B20,dungeons,0.5358,3.573,6.668,0,4,128,128,512,512,45.85,1,1
274,0x06005A26,props,0.5342,1.891,3.54,0,4,256,256,1024,1024,57.64,1,0
275,0x06005008,props,0.5335,4.248,7.962,0,4,64,64,256,256,25.38,1,1
276,0x06003F74,dungeons,0.5332,6.519,12.224,0,4,256,256,1024,1024,28.81,1,1
277,0x06004727,scenery,0.5332,2.442,4.58,0,4,32,128,128,512,65.27,1,0
278,0x06005D59,props,0.5331,1.427,2.677,0,4,256,256,1024,1024,51.48,0,0
279,0x06006788,scenery,0.5316,2.348,4.416,0,4,256,256,1024,1024,38.6,1,0
280,0x06003F76,props,0.5316,4.556,8.571,0,4,128,128,512,512,39.4,1,1
281,0x06005D5B,props,0.5295,2.334,4.407,0,4,256,256,1024,1024,44.76,1,0
282,0x06006131,scenery,0.529,2.171,4.104,0,2,512,512,1024,1024,59.04,1,0
283,0x06003937,dungeons,0.5286,2.109,3.99,0,4,128,256,512,1024,48.06,1,0
284,0x060042BC,dungeons,0.5272,7.628,14.468,0,4,64,64,256,256,31.62,1,1
285,0x060051AF,doors,0.5264,4.193,7.965,0,4,64,128,256,512,41.05,1,1
286,0x060040BE,dungeons,0.5263,4.485,8.521,0,4,128,128,512,512,30.08,1,1
287,0x060043F4,dungeons,0.5261,0.951,1.808,0,4,512,512,2048,2048,59.42,0,0
288,0x06003DB6,dungeons,0.5221,8.737,16.735,0,4,128,128,512,512,27.09,1,1
289,0x060070F9,creatures,0.5197,3.001,5.774,0,4,256,256,1024,1024,21.53,1,1
290,0x06003997,dungeons,0.519,4.838,9.323,0,4,128,128,512,512,30.74,1,1
291,0x060040D8,scenery,0.5186,3.272,6.31,0,4,128,128,512,512,36.85,1,1
292,0x06003EB0,dungeons,0.5186,1.14,2.199,0,4,128,256,512,1024,78.33,0,0
293,0x060064F2,creatures,0.5185,9.389,18.109,0,4,128,128,512,512,10.92,1,1
294,0x06005D5D,props,0.5173,1.636,3.162,0,4,256,256,1024,1024,53.92,1,0
